Image,Flow,Sequence,Sequence_Index,Dino,GtMask
DAVIS17/JPEGImages/480p/bear/00000.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00000.flo,bear,0,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00000.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00000.png
DAVIS17/JPEGImages/480p/bear/00001.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00001.flo,bear,1,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00001.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00001.png
DAVIS17/JPEGImages/480p/bear/00002.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00002.flo,bear,2,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00002.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00002.png
DAVIS17/JPEGImages/480p/bear/00003.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00003.flo,bear,3,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00003.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00003.png
DAVIS17/JPEGImages/480p/bear/00004.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00004.flo,bear,4,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00004.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00004.png
DAVIS17/JPEGImages/480p/bear/00005.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00005.flo,bear,5,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00005.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00005.png
DAVIS17/JPEGImages/480p/bear/00006.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00006.flo,bear,6,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00006.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00006.png
DAVIS17/JPEGImages/480p/bear/00007.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00007.flo,bear,7,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00007.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00007.png
DAVIS17/JPEGImages/480p/bear/00008.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00008.flo,bear,8,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00008.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00008.png
DAVIS17/JPEGImages/480p/bear/00009.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00009.flo,bear,9,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00009.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00009.png
