Image,GtMask,Flow,FlowRGB,Sequence,Sequence_Index,Dino
DAVIS/JPEGImages/480p/bear/00000.jpg,DAVIS/Annotations/480p/bear/00000.png,DAVIS/OpticalFlow020321/480p/bear/00000.flo,DAVIS/OpticalFlow020321/480p/bear/00000.flo.png,bear,0,DAVIS/DINO/dino_vits8//480p/bear/00000.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00001.jpg,DAVIS/Annotations/480p/bear/00001.png,DAVIS/OpticalFlow020321/480p/bear/00001.flo,DAVIS/OpticalFlow020321/480p/bear/00001.flo.png,bear,1,DAVIS/DINO/dino_vits8//480p/bear/00001.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00002.jpg,DAVIS/Annotations/480p/bear/00002.png,DAVIS/OpticalFlow020321/480p/bear/00002.flo,DAVIS/OpticalFlow020321/480p/bear/00002.flo.png,bear,2,DAVIS/DINO/dino_vits8//480p/bear/00002.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00003.jpg,DAVIS/Annotations/480p/bear/00003.png,DAVIS/OpticalFlow020321/480p/bear/00003.flo,DAVIS/OpticalFlow020321/480p/bear/00003.flo.png,bear,3,DAVIS/DINO/dino_vits8//480p/bear/00003.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00004.jpg,DAVIS/Annotations/480p/bear/00004.png,DAVIS/OpticalFlow020321/480p/bear/00004.flo,DAVIS/OpticalFlow020321/480p/bear/00004.flo.png,bear,4,DAVIS/DINO/dino_vits8//480p/bear/00004.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00005.jpg,DAVIS/Annotations/480p/bear/00005.png,DAVIS/OpticalFlow020321/480p/bear/00005.flo,DAVIS/OpticalFlow020321/480p/bear/00005.flo.png,bear,5,DAVIS/DINO/dino_vits8//480p/bear/00005.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00006.jpg,DAVIS/Annotations/480p/bear/00006.png,DAVIS/OpticalFlow020321/480p/bear/00006.flo,DAVIS/OpticalFlow020321/480p/bear/00006.flo.png,bear,6,DAVIS/DINO/dino_vits8//480p/bear/00006.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00007.jpg,DAVIS/Annotations/480p/bear/00007.png,DAVIS/OpticalFlow020321/480p/bear/00007.flo,DAVIS/OpticalFlow020321/480p/bear/00007.flo.png,bear,7,DAVIS/DINO/dino_vits8//480p/bear/00007.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00008.jpg,DAVIS/Annotations/480p/bear/00008.png,DAVIS/OpticalFlow020321/480p/bear/00008.flo,DAVIS/OpticalFlow020321/480p/bear/00008.flo.png,bear,8,DAVIS/DINO/dino_vits8//480p/bear/00008.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00009.jpg,DAVIS/Annotations/480p/bear/00009.png,DAVIS/OpticalFlow020321/480p/bear/00009.flo,DAVIS/OpticalFlow020321/480p/bear/00009.flo.png,bear,9,DAVIS/DINO/dino_vits8//480p/bear/00009.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00010.jpg,DAVIS/Annotations/480p/bear/00010.png,DAVIS/OpticalFlow020321/480p/bear/00010.flo,DAVIS/OpticalFlow020321/480p/bear/00010.flo.png,bear,10,DAVIS/DINO/dino_vits8//480p/bear/00010.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00011.jpg,DAVIS/Annotations/480p/bear/00011.png,DAVIS/OpticalFlow020321/480p/bear/00011.flo,DAVIS/OpticalFlow020321/480p/bear/00011.flo.png,bear,11,DAVIS/DINO/dino_vits8//480p/bear/00011.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00012.jpg,DAVIS/Annotations/480p/bear/00012.png,DAVIS/OpticalFlow020321/480p/bear/00012.flo,DAVIS/OpticalFlow020321/480p/bear/00012.flo.png,bear,12,DAVIS/DINO/dino_vits8//480p/bear/00012.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00013.jpg,DAVIS/Annotations/480p/bear/00013.png,DAVIS/OpticalFlow020321/480p/bear/00013.flo,DAVIS/OpticalFlow020321/480p/bear/00013.flo.png,bear,13,DAVIS/DINO/dino_vits8//480p/bear/00013.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00014.jpg,DAVIS/Annotations/480p/bear/00014.png,DAVIS/OpticalFlow020321/480p/bear/00014.flo,DAVIS/OpticalFlow020321/480p/bear/00014.flo.png,bear,14,DAVIS/DINO/dino_vits8//480p/bear/00014.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00015.jpg,DAVIS/Annotations/480p/bear/00015.png,DAVIS/OpticalFlow020321/480p/bear/00015.flo,DAVIS/OpticalFlow020321/480p/bear/00015.flo.png,bear,15,DAVIS/DINO/dino_vits8//480p/bear/00015.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00016.jpg,DAVIS/Annotations/480p/bear/00016.png,DAVIS/OpticalFlow020321/480p/bear/00016.flo,DAVIS/OpticalFlow020321/480p/bear/00016.flo.png,bear,16,DAVIS/DINO/dino_vits8//480p/bear/00016.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00017.jpg,DAVIS/Annotations/480p/bear/00017.png,DAVIS/OpticalFlow020321/480p/bear/00017.flo,DAVIS/OpticalFlow020321/480p/bear/00017.flo.png,bear,17,DAVIS/DINO/dino_vits8//480p/bear/00017.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00018.jpg,DAVIS/Annotations/480p/bear/00018.png,DAVIS/OpticalFlow020321/480p/bear/00018.flo,DAVIS/OpticalFlow020321/480p/bear/00018.flo.png,bear,18,DAVIS/DINO/dino_vits8//480p/bear/00018.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00019.jpg,DAVIS/Annotations/480p/bear/00019.png,DAVIS/OpticalFlow020321/480p/bear/00019.flo,DAVIS/OpticalFlow020321/480p/bear/00019.flo.png,bear,19,DAVIS/DINO/dino_vits8//480p/bear/00019.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00020.jpg,DAVIS/Annotations/480p/bear/00020.png,DAVIS/OpticalFlow020321/480p/bear/00020.flo,DAVIS/OpticalFlow020321/480p/bear/00020.flo.png,bear,20,DAVIS/DINO/dino_vits8//480p/bear/00020.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00021.jpg,DAVIS/Annotations/480p/bear/00021.png,DAVIS/OpticalFlow020321/480p/bear/00021.flo,DAVIS/OpticalFlow020321/480p/bear/00021.flo.png,bear,21,DAVIS/DINO/dino_vits8//480p/bear/00021.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00022.jpg,DAVIS/Annotations/480p/bear/00022.png,DAVIS/OpticalFlow020321/480p/bear/00022.flo,DAVIS/OpticalFlow020321/480p/bear/00022.flo.png,bear,22,DAVIS/DINO/dino_vits8//480p/bear/00022.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00023.jpg,DAVIS/Annotations/480p/bear/00023.png,DAVIS/OpticalFlow020321/480p/bear/00023.flo,DAVIS/OpticalFlow020321/480p/bear/00023.flo.png,bear,23,DAVIS/DINO/dino_vits8//480p/bear/00023.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00024.jpg,DAVIS/Annotations/480p/bear/00024.png,DAVIS/OpticalFlow020321/480p/bear/00024.flo,DAVIS/OpticalFlow020321/480p/bear/00024.flo.png,bear,24,DAVIS/DINO/dino_vits8//480p/bear/00024.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00025.jpg,DAVIS/Annotations/480p/bear/00025.png,DAVIS/OpticalFlow020321/480p/bear/00025.flo,DAVIS/OpticalFlow020321/480p/bear/00025.flo.png,bear,25,DAVIS/DINO/dino_vits8//480p/bear/00025.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00026.jpg,DAVIS/Annotations/480p/bear/00026.png,DAVIS/OpticalFlow020321/480p/bear/00026.flo,DAVIS/OpticalFlow020321/480p/bear/00026.flo.png,bear,26,DAVIS/DINO/dino_vits8//480p/bear/00026.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00027.jpg,DAVIS/Annotations/480p/bear/00027.png,DAVIS/OpticalFlow020321/480p/bear/00027.flo,DAVIS/OpticalFlow020321/480p/bear/00027.flo.png,bear,27,DAVIS/DINO/dino_vits8//480p/bear/00027.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00028.jpg,DAVIS/Annotations/480p/bear/00028.png,DAVIS/OpticalFlow020321/480p/bear/00028.flo,DAVIS/OpticalFlow020321/480p/bear/00028.flo.png,bear,28,DAVIS/DINO/dino_vits8//480p/bear/00028.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00029.jpg,DAVIS/Annotations/480p/bear/00029.png,DAVIS/OpticalFlow020321/480p/bear/00029.flo,DAVIS/OpticalFlow020321/480p/bear/00029.flo.png,bear,29,DAVIS/DINO/dino_vits8//480p/bear/00029.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00030.jpg,DAVIS/Annotations/480p/bear/00030.png,DAVIS/OpticalFlow020321/480p/bear/00030.flo,DAVIS/OpticalFlow020321/480p/bear/00030.flo.png,bear,30,DAVIS/DINO/dino_vits8//480p/bear/00030.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00031.jpg,DAVIS/Annotations/480p/bear/00031.png,DAVIS/OpticalFlow020321/480p/bear/00031.flo,DAVIS/OpticalFlow020321/480p/bear/00031.flo.png,bear,31,DAVIS/DINO/dino_vits8//480p/bear/00031.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00032.jpg,DAVIS/Annotations/480p/bear/00032.png,DAVIS/OpticalFlow020321/480p/bear/00032.flo,DAVIS/OpticalFlow020321/480p/bear/00032.flo.png,bear,32,DAVIS/DINO/dino_vits8//480p/bear/00032.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00033.jpg,DAVIS/Annotations/480p/bear/00033.png,DAVIS/OpticalFlow020321/480p/bear/00033.flo,DAVIS/OpticalFlow020321/480p/bear/00033.flo.png,bear,33,DAVIS/DINO/dino_vits8//480p/bear/00033.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00034.jpg,DAVIS/Annotations/480p/bear/00034.png,DAVIS/OpticalFlow020321/480p/bear/00034.flo,DAVIS/OpticalFlow020321/480p/bear/00034.flo.png,bear,34,DAVIS/DINO/dino_vits8//480p/bear/00034.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00035.jpg,DAVIS/Annotations/480p/bear/00035.png,DAVIS/OpticalFlow020321/480p/bear/00035.flo,DAVIS/OpticalFlow020321/480p/bear/00035.flo.png,bear,35,DAVIS/DINO/dino_vits8//480p/bear/00035.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00036.jpg,DAVIS/Annotations/480p/bear/00036.png,DAVIS/OpticalFlow020321/480p/bear/00036.flo,DAVIS/OpticalFlow020321/480p/bear/00036.flo.png,bear,36,DAVIS/DINO/dino_vits8//480p/bear/00036.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00037.jpg,DAVIS/Annotations/480p/bear/00037.png,DAVIS/OpticalFlow020321/480p/bear/00037.flo,DAVIS/OpticalFlow020321/480p/bear/00037.flo.png,bear,37,DAVIS/DINO/dino_vits8//480p/bear/00037.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00038.jpg,DAVIS/Annotations/480p/bear/00038.png,DAVIS/OpticalFlow020321/480p/bear/00038.flo,DAVIS/OpticalFlow020321/480p/bear/00038.flo.png,bear,38,DAVIS/DINO/dino_vits8//480p/bear/00038.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00039.jpg,DAVIS/Annotations/480p/bear/00039.png,DAVIS/OpticalFlow020321/480p/bear/00039.flo,DAVIS/OpticalFlow020321/480p/bear/00039.flo.png,bear,39,DAVIS/DINO/dino_vits8//480p/bear/00039.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00040.jpg,DAVIS/Annotations/480p/bear/00040.png,DAVIS/OpticalFlow020321/480p/bear/00040.flo,DAVIS/OpticalFlow020321/480p/bear/00040.flo.png,bear,40,DAVIS/DINO/dino_vits8//480p/bear/00040.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00041.jpg,DAVIS/Annotations/480p/bear/00041.png,DAVIS/OpticalFlow020321/480p/bear/00041.flo,DAVIS/OpticalFlow020321/480p/bear/00041.flo.png,bear,41,DAVIS/DINO/dino_vits8//480p/bear/00041.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00042.jpg,DAVIS/Annotations/480p/bear/00042.png,DAVIS/OpticalFlow020321/480p/bear/00042.flo,DAVIS/OpticalFlow020321/480p/bear/00042.flo.png,bear,42,DAVIS/DINO/dino_vits8//480p/bear/00042.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00043.jpg,DAVIS/Annotations/480p/bear/00043.png,DAVIS/OpticalFlow020321/480p/bear/00043.flo,DAVIS/OpticalFlow020321/480p/bear/00043.flo.png,bear,43,DAVIS/DINO/dino_vits8//480p/bear/00043.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00044.jpg,DAVIS/Annotations/480p/bear/00044.png,DAVIS/OpticalFlow020321/480p/bear/00044.flo,DAVIS/OpticalFlow020321/480p/bear/00044.flo.png,bear,44,DAVIS/DINO/dino_vits8//480p/bear/00044.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00045.jpg,DAVIS/Annotations/480p/bear/00045.png,DAVIS/OpticalFlow020321/480p/bear/00045.flo,DAVIS/OpticalFlow020321/480p/bear/00045.flo.png,bear,45,DAVIS/DINO/dino_vits8//480p/bear/00045.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00046.jpg,DAVIS/Annotations/480p/bear/00046.png,DAVIS/OpticalFlow020321/480p/bear/00046.flo,DAVIS/OpticalFlow020321/480p/bear/00046.flo.png,bear,46,DAVIS/DINO/dino_vits8//480p/bear/00046.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00047.jpg,DAVIS/Annotations/480p/bear/00047.png,DAVIS/OpticalFlow020321/480p/bear/00047.flo,DAVIS/OpticalFlow020321/480p/bear/00047.flo.png,bear,47,DAVIS/DINO/dino_vits8//480p/bear/00047.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00048.jpg,DAVIS/Annotations/480p/bear/00048.png,DAVIS/OpticalFlow020321/480p/bear/00048.flo,DAVIS/OpticalFlow020321/480p/bear/00048.flo.png,bear,48,DAVIS/DINO/dino_vits8//480p/bear/00048.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00049.jpg,DAVIS/Annotations/480p/bear/00049.png,DAVIS/OpticalFlow020321/480p/bear/00049.flo,DAVIS/OpticalFlow020321/480p/bear/00049.flo.png,bear,49,DAVIS/DINO/dino_vits8//480p/bear/00049.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00050.jpg,DAVIS/Annotations/480p/bear/00050.png,DAVIS/OpticalFlow020321/480p/bear/00050.flo,DAVIS/OpticalFlow020321/480p/bear/00050.flo.png,bear,50,DAVIS/DINO/dino_vits8//480p/bear/00050.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00051.jpg,DAVIS/Annotations/480p/bear/00051.png,DAVIS/OpticalFlow020321/480p/bear/00051.flo,DAVIS/OpticalFlow020321/480p/bear/00051.flo.png,bear,51,DAVIS/DINO/dino_vits8//480p/bear/00051.jpg_240x427.npy
DAVIS/JPEGImages/480p/bear/00052.jpg,DAVIS/Annotations/480p/bear/00052.png,DAVIS/OpticalFlow020321/480p/bear/00052.flo,DAVIS/OpticalFlow020321/480p/bear/00052.flo.png,bear,52,DAVIS/DINO/dino_vits8//480p/bear/00052.jpg_240x427.npy
