Unnamed: 0.1,Unnamed: 0,Image,Flow,FlowRGB,GtMask,Sequence,Sequence_Index,Dino
0,0,FBMS/FBMS_clean/JPEGImages/bear01/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00001.flo.png,FBMS/FBMS_clean/Annotations/bear01/00001.png,bear01,1,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00001.jpg_270x480.npy
1,19,FBMS/FBMS_clean/JPEGImages/bear01/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00020.flo.png,FBMS/FBMS_clean/Annotations/bear01/00020.png,bear01,20,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00020.jpg_270x480.npy
2,39,FBMS/FBMS_clean/JPEGImages/bear01/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00040.flo.png,FBMS/FBMS_clean/Annotations/bear01/00040.png,bear01,40,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00040.jpg_270x480.npy
3,59,FBMS/FBMS_clean/JPEGImages/bear01/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00060.flo.png,FBMS/FBMS_clean/Annotations/bear01/00060.png,bear01,60,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00060.jpg_270x480.npy
4,79,FBMS/FBMS_clean/JPEGImages/bear01/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00080.flo.png,FBMS/FBMS_clean/Annotations/bear01/00080.png,bear01,80,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00080.jpg_270x480.npy
5,99,FBMS/FBMS_clean/JPEGImages/bear01/00100.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00100.flo,,FBMS/FBMS_clean/Annotations/bear01/00100.png,bear01,100,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00100.jpg_270x480.npy
6,100,FBMS/FBMS_clean/JPEGImages/bear02/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00001.flo.png,FBMS/FBMS_clean/Annotations/bear02/00001.png,bear02,1,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00001.jpg_180x320.npy
7,119,FBMS/FBMS_clean/JPEGImages/bear02/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00020.flo.png,FBMS/FBMS_clean/Annotations/bear02/00020.png,bear02,20,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00020.jpg_180x320.npy
8,139,FBMS/FBMS_clean/JPEGImages/bear02/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00040.flo.png,FBMS/FBMS_clean/Annotations/bear02/00040.png,bear02,40,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00040.jpg_180x320.npy
9,159,FBMS/FBMS_clean/JPEGImages/bear02/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00060.flo.png,FBMS/FBMS_clean/Annotations/bear02/00060.png,bear02,60,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00060.jpg_180x320.npy
10,179,FBMS/FBMS_clean/JPEGImages/bear02/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00080.flo.png,FBMS/FBMS_clean/Annotations/bear02/00080.png,bear02,80,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00080.jpg_180x320.npy
11,199,FBMS/FBMS_clean/JPEGImages/bear02/00100.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00100.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00100.flo.png,FBMS/FBMS_clean/Annotations/bear02/00100.png,bear02,100,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00100.jpg_180x320.npy
12,219,FBMS/FBMS_clean/JPEGImages/bear02/00120.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00120.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00120.flo.png,FBMS/FBMS_clean/Annotations/bear02/00120.png,bear02,120,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00120.jpg_180x320.npy
13,239,FBMS/FBMS_clean/JPEGImages/bear02/00140.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00140.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00140.flo.png,FBMS/FBMS_clean/Annotations/bear02/00140.png,bear02,140,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00140.jpg_180x320.npy
14,259,FBMS/FBMS_clean/JPEGImages/bear02/00160.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00160.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00160.flo.png,FBMS/FBMS_clean/Annotations/bear02/00160.png,bear02,160,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00160.jpg_180x320.npy
