Unnamed: 0,Image,Flow,FlowRGB,GtMask,Sequence,Sequence_Index,Dino
0,FBMS/FBMS_clean/JPEGImages/bear01/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00001.flo.png,FBMS/FBMS_clean/Annotations/bear01/00001.png,bear01,1,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00001.jpg_270x480.npy
1,FBMS/FBMS_clean/JPEGImages/bear01/00002.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00002.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00002.flo.png,,bear01,2,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00002.jpg_270x480.npy
2,FBMS/FBMS_clean/JPEGImages/bear01/00003.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00003.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00003.flo.png,,bear01,3,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00003.jpg_270x480.npy
3,FBMS/FBMS_clean/JPEGImages/bear01/00004.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00004.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00004.flo.png,,bear01,4,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00004.jpg_270x480.npy
4,FBMS/FBMS_clean/JPEGImages/bear01/00005.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00005.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00005.flo.png,,bear01,5,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00005.jpg_270x480.npy
5,FBMS/FBMS_clean/JPEGImages/bear01/00006.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00006.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00006.flo.png,,bear01,6,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00006.jpg_270x480.npy
6,FBMS/FBMS_clean/JPEGImages/bear01/00007.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00007.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00007.flo.png,,bear01,7,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00007.jpg_270x480.npy
7,FBMS/FBMS_clean/JPEGImages/bear01/00008.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00008.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00008.flo.png,,bear01,8,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00008.jpg_270x480.npy
8,FBMS/FBMS_clean/JPEGImages/bear01/00009.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00009.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00009.flo.png,,bear01,9,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00009.jpg_270x480.npy
9,FBMS/FBMS_clean/JPEGImages/bear01/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00010.flo.png,,bear01,10,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00010.jpg_270x480.npy
